Model,Version,Accuracy,Precision,Recall,F1 Score
Baseline ANN,Default,0.4815384615384615,0.49193491677688994,0.4815384615384615,0.48648689211237917
Baseline ANN,Tuned,0.4707692307692308,0.4806807315796863,0.4707692307692308,0.47552054105368474
Dropout ANN,Tuned,0.4676923076923077,0.5175305662873378,0.4676923076923077,0.4896630561095351
Dropout ANN,Default,0.44769230769230767,0.4965318983332779,0.44769230769230767,0.4672678246099133
Deep ANN,Tuned,0.4430769230769231,0.533006798473344,0.4430769230769231,0.4686020746994319
Deep ANN,Default,0.4338461538461538,0.5291264695079179,0.4338461538461538,0.4573952150996861
